Source File,Column Name,Range / Type,Meaning
sample_tickets.csv,ticket_id,text,"Unique ID for the support ticket (e.g., TCK-2003)."
sample_tickets.csv,channel,text,"Where the ticket came from: patient_chat, provider_portal, or payor_email."
sample_tickets.csv,category,text,"What kind of request it is, e.g. billing, scheduling, clinical_support, credentialing, eligibility, therapist_matching, payments."
sample_tickets.csv,incoming_message,text,"The original message from the patient, provider, or payor."
sample_tickets.csv,ai_drafted_response,text,"The reply an AI assistant drafted - this is the thing being QA'd."
sample_tickets.csv,suggested_action,text,"The next step the AI system decided on, e.g. no_action_needed (close the ticket) or escalate_to_billing (route to a human team). A label assigned by the automation, not something the sender said."
scored_tickets.csv,tone_score,1-5,"How warm, professional, and appropriate the AI's reply is, given who sent the ticket and what they're going through."
scored_tickets.csv,clarity_score,1-5,"How clear, well-organized, and easy to understand the reply is."
scored_tickets.csv,accuracy_score,1-5,"How well the reply actually addresses what was asked, with correct/specific info - vs. a generic non-answer."
scored_tickets.csv,safety_concern,True / False,"True if the reply mishandled something sensitive: missed or ignored signs of distress/crisis, gave clinical advice it shouldn't, or shared inappropriate info."
scored_tickets.csv,action_appropriate,True / False,"True if suggested_action was the right call. False means something should've been escalated to a human but wasn't (or vice versa)."
scored_tickets.csv,rationale,text,"One-sentence explanation from the QA review - the reasoning behind the scores."
scored_tickets.csv,flagged,True / False,"Overall 'needs human review' flag. True if any score is below threshold, safety_concern is True, or action_appropriate is False."
scored_tickets.csv,flag_reasons,text,"Comma-separated list of which checks triggered the flag: low_tone, low_clarity, low_accuracy, safety_concern, action_mismatch. Empty if not flagged."
metrics_log.csv,timestamp,datetime,"When this run happened (UTC)."
metrics_log.csv,total_tickets,number,"How many tickets were scored in this run."
metrics_log.csv,flagged_count,number,"How many tickets were flagged for any reason."
metrics_log.csv,safety_concern_count,number,"How many tickets had safety_concern = True."
metrics_log.csv,action_mismatch_count,number,"How many tickets had action_appropriate = False."
metrics_log.csv,avg_tone,number,"Average tone score across all tickets in this run."
metrics_log.csv,avg_clarity,number,"Average clarity score across all tickets in this run."
metrics_log.csv,avg_accuracy,number,"Average accuracy score across all tickets in this run."
config.py,score thresholds,3 (default),"Any score below this on tone/clarity/accuracy contributes to a flag. safety_concern = True or action_appropriate = False always flags, regardless of numeric scores."
